time,DevID,Name,Description,battery_level,co2,humidity,temperature
"2025-11-24T01:00:15.104Z","24E124725E330429","Labo - 10","Batiment 1",93,270,51.5,15.8
"2025-11-24T01:00:39.371Z","24E124725E330537","Infirmerie ","Batiment 3",93,353,47,15.8
"2025-11-24T01:00:45.499Z","24E124725E331335","Atelier - 7","Batiment 4",93,307,51.5,14.9
"2025-11-24T01:01:10.564Z","24E124725E338893","Direction - 26","Batiment 3",93,363,45,14.8
"2025-11-24T01:01:13.682Z","24E124725E330011","WC - 12","Batiment 1",93,567,53,16.5
"2025-11-24T01:02:13.572Z","24E124725E330668","Sanitaire 23","Batiment 3",99,398,46.5,16.7
"2025-11-24T01:02:41.160Z","24E124725E338876","Secretariat - 25","Batiment 3",93,421,44,15.4
"2025-11-24T01:03:10.963Z","24E124725E333857","S T P ","Batiment 3",93,441,44,16.4
"2025-11-24T01:03:39.971Z","24E124725E336493","Dépot 5","Bâtiment 6",88,347,51.5,15.3
"2025-11-24T01:04:12.842Z","24E124725E336046","SAM Prof 2 ","Batiment 3",93,270,47.5,17.3
"2025-11-24T01:04:40.183Z","24E124725E330652","Gardien - 29","Batiment 3",93,397,47,15.7
"2025-11-24T01:04:40.703Z","24E124725E332035","Salle de travail - 2","Batiment 4",93,299,37.5,20
"2025-11-24T01:05:11.745Z","24E124725E339027","Classe 16","Bâtiment 6",87,438,38.5,18.9
"2025-11-24T01:05:41.862Z","24E124725E331262","Classe 12","Batiment 5",92,419,42.5,15.7
"2025-11-24T01:05:43.603Z","24E124725E331454","Cantine","Batiment 1",93,389,47,17
"2025-11-24T01:06:07.644Z","24E124725E330593","Classe 10","Batiment 5",92,393,32.5,22.5
"2025-11-24T01:06:41.329Z","24E124725E339012","Conseiller - 18","Batiment 3",93,368,40.5,17
"2025-11-24T01:07:09.281Z","24E124725E330145","Reserve - 9 ","Batiment 2",99,488,46.5,18.5
"2025-11-24T01:07:14.394Z","24E124725E330837","Classe 5","Batiment 5",92,549,44,17.2
"2025-11-24T01:07:39.838Z","24E124725E331500","Labo - 8","Batiment 1",93,403,44,18.9
"2025-11-24T01:08:41.185Z","24E124725E331037","Salle de dessin 13","Batiment 5",93,396,41.5,17.3
"2025-11-24T01:09:09.241Z","24E124725E330689","Plonge","Batiment 2",99,175,55,14.6
"2025-11-24T01:09:12.443Z","24E124725E331618","Classe 1","Batiment 5",92,435,49,16.6
"2025-11-24T01:09:41.392Z","24E124725E331392","Salle des profs","Batiment 3",93,386,45,16
"2025-11-24T01:10:09.801Z","24E124725E338940","Sanitaire 1E - 5 ","Batiment 5",93,431,51.5,15.4
"2025-11-24T01:10:10.353Z","24E124725E330302","Classe 19","Bâtiment 6",87,459,46.5,16.3
"2025-11-24T01:10:12.322Z","24E124725E330664","Couloir 1e Bat 6","Bâtiment 6",88,418,50.5,15.9
"2025-11-24T01:10:13.531Z","24E124725E330738","Dépot 4 - 6","Bâtiment 6",87,228,52.5,14
"2025-11-24T01:10:37.193Z","24E124725E331437","Classe 8","Batiment 5",99,346,45.5,16
"2025-11-24T01:10:42.802Z","24E124725E331502","WC - 11","Batiment 1",93,415,47.5,19.2
"2025-11-24T01:11:08.581Z","24E124725E331914","Orientation ","Batiment 3",93,396,49,17.6
"2025-11-24T01:11:11.770Z","24E124725E331504","Préau","Batiment 2",99,279,60.5,11.7
"2025-11-24T01:11:13.115Z","24E124725E331515","Salle de réunion","Batiment 3",96,10000,43,16.7
"2025-11-24T01:11:39.853Z","24E124725E330109","Couloir RDC - 5 ","Batiment 5",98,386,48.5,16
"2025-11-24T01:12:34.603Z","24E124725E338938","Lingerie ","Batiment 3",93,348,47.5,16.1
"2025-11-24T01:12:43.931Z","24E124725E336466","Degagement - 3  bat 1","Batiment 1",93,463,51,16.9
"2025-11-24T01:13:05.283Z","24E124725E330658","Classe 30","Batiment 2",99,416,36.5,19.6
"2025-11-24T01:13:37.423Z","24E124725E333932","Classe 4","Bâtiment 5",92,663,47.5,15.9
"2025-11-24T01:13:41.724Z","24E124725E332202","Classe 18","Bâtiment 6",87,454,57,13.2
"2025-11-24T01:14:06.772Z","24E124725E330416","Salle des machines - 20","Batiment 3",93,404,44,17.1
"2025-11-24T01:14:39.850Z","24E124725E331472","Dépot 2 - 6","Bâtiment 6",87,404,43.5,18.2
"2025-11-24T01:15:10.133Z","24E124725E338930","Couloir bureaux","Batiment 3",99,407,43,16.3
"2025-11-24T01:15:11.594Z","24E124725E330455","Degagement 4 - 2","Batiment 2",100,220,48.5,15.4
"2025-11-24T01:15:11.671Z","24E124725E330755","Sanitaires Hommes 1E - 6 ","Bâtiment 6",87,485,54.5,14.7
"2025-11-24T01:15:12.513Z","24E124725E330878","Degagement 3 bat 3","Batiment 3",93,364,50.5,15.7
"2025-11-24T01:15:41.043Z","24E124725E331967","Classe 23","Bâtiment 6",87,427,46,15.9
"2025-11-24T01:16:40.052Z","24E124725E331405","Cuisine ","Batiment 2",99,440,51.5,15.8
"2025-11-24T01:16:40.422Z","24E124725E330680","Classe 21","Bâtiment 6",86,525,39.5,18.9
"2025-11-24T01:17:12.394Z","24E124725E335373","Classe 2","Batiment 5",92,416,46,16.1
"2025-11-24T01:18:12.663Z","24E124725E331267","Entrée - 18","Batiment 2",99,455,50,17
"2025-11-24T01:18:39.842Z","24E124725E338949","Salle 31 ","Batiment 1",93,437,48,16.7
"2025-11-24T01:19:08.483Z","24E124725E330344","Sanitaire 22","Batiment 3",99,365,53,15.5
"2025-11-24T01:19:37.242Z","24E124725E335870","Classe 13","Batiment 5",92,395,44.5,16.2
"2025-11-24T01:19:45.492Z","24E124725E336083","Salle étude 2","Bâtiment 7",88,205,47,15.5
"2025-11-24T01:20:09.461Z","24E124725E331396","Salle 34","Batiment 1",99,383,47.5,16.1
"2025-11-24T01:20:10.442Z","24E124725E330345","Salle de réunion - 32","Batiment 3",93,323,52.5,12.5
"2025-11-24T01:21:10.863Z","24E124725E331912","Classe 11","Batiment 5",99,396,42.5,16.2
"2025-11-24T01:21:11.093Z","24E124725E331314","Vestiaire 6","Bâtiment 6",88,356,72,15
"2025-11-24T01:22:08.561Z","24E124725E331230","Soins","Batiment 3",93,299,45.5,16
"2025-11-24T01:22:12.443Z","24E124725E331330","Couloir RDC Bat 6","Bâtiment 6",87,377,50.5,16
"2025-11-24T01:22:39.252Z","24E124725E330635","Principal adjoint - 24","Batiment 3",93,0,44.5,15.6
"2025-11-24T01:22:42.389Z","24E124725E335166","Depot 9","Batiment 5",99,272,49.5,15.2
"2025-11-24T01:24:06.963Z","24E124725E336069","Salle 33","Batiment 1",93,328,46.5,18.3
"2025-11-24T01:24:07.091Z","24E124725E331272","Bureau CPE - 1","Batiment 4",93,419,43,17.7
"2025-11-24T01:24:42.200Z","24E124725E331398","Labo - 6","Batiment 1",93,371,55,15.7
"2025-11-24T01:24:43.163Z","24E124725E336062","Reserve 6","Batiment 2",99,439,30.5,26
"2025-11-24T01:24:43.402Z","24E124725E336091","Salle 32","Batiment 1",93,329,28,28.5
"2025-11-24T01:25:07.002Z","24E124725E330736","Salle étude 1","Batiment 8",98,308,57,10.1
"2025-11-24T01:25:10.183Z","24E124725E331960","Classe 22","Bâtiment 6",88,193,44,17.2
